,squash,cucumbers,figs,beans,avocados,lemons,grapefruit,raspberries,cherries,peaches,celery,apples,strawberries,cabbage,peas,limes,potatoes,broccoli,oranges,tomatoes,pears,grapes,corn,pineapples,lettuce,peppers,bananas,spinach,onions,carrots
squash,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cucumbers,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
figs,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
beans,0,0.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
avocados,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
lemons,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
grapefruit,0,0,0.25,0,0,0.25,1,,,,,,,,,,,,,,,,,,,,,,,
raspberries,0,0,0.25,0,0,0,0.25,1,,,,,,,,,,,,,,,,,,,,,,
cherries,0,0,0.5,0,0,0,0.25,0.25,1,,,,,,,,,,,,,,,,,,,,,
peaches,0,0,0,0,0,0,0,0.25,0.25,1,,,,,,,,,,,,,,,,,,,,
celery,0,0.75,0,0.25,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
apples,0,0,0.25,0,0,0,0.25,0.25,0.5,0.5,0,1,,,,,,,,,,,,,,,,,,
strawberries,0,0,0.25,0,0,0,0.25,0.75,0.25,0.25,0,0.25,1,,,,,,,,,,,,,,,,,
cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
peas,0,0.25,0,0.5,0,0,0,0,0,0,0.25,0,0,0,1,,,,,,,,,,,,,,,
limes,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
potatoes,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,,,,,,,,,,,,,
broccoli,0,0.25,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0.75,0,0,1,,,,,,,,,,,,
oranges,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0.25,0,0,1,,,,,,,,,,,
tomatoes,0,0.75,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0.25,0,1,,,,,,,,,,
pears,0,0,0.25,0,0,0,0.25,0.25,0.25,0.75,0,0.5,0.25,0,0,0,0,0,0,0,1,,,,,,,,,
grapes,0,0,0.25,0,0,0,0.25,0.5,0.25,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0.5,1,,,,,,,,
corn,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,1,,,,,,,
pineapples,0,0,0.25,0,0.25,0.25,0.5,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0,1,,,,,,
lettuce,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0,1,,,,,
peppers,0,0.75,0,0.25,0,0,0,0,0,0,0.75,0,0,0,0.5,0,0,0.5,0,0.75,0,0,0.25,0,0.25,1,,,,
bananas,0,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.5,0.25,0,0,0,0,0,0.25,0,0.5,0.25,0,0.5,0,0,1,,,
spinach,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.5,0.25,0,1,,
onions,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,1,
carrots,0,0.25,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0.75,0,0.25,0,0,0.25,0,0,0.5,0,0.25,0.25,1